code;name;nationality;agegroup;population_total;population_m;population_f
09161;      Ingolstadt (Krfr.St);Insgesamt;unter 6;8619;4432;4187
09161;      Ingolstadt (Krfr.St);Insgesamt;6 bis unter 15;10676;5487;5189
09161;      Ingolstadt (Krfr.St);Insgesamt;15 bis unter 18;3621;1928;1693
09161;      Ingolstadt (Krfr.St);Insgesamt;18 bis unter 25;11036;6018;5018
09161;      Ingolstadt (Krfr.St);Insgesamt;25 bis unter 30;10992;5815;5177
09161;      Ingolstadt (Krfr.St);Insgesamt;30 bis unter 40;21917;11737;10180
09161;      Ingolstadt (Krfr.St);Insgesamt;40 bis unter 50;17959;9308;8651
09161;      Ingolstadt (Krfr.St);Insgesamt;50 bis unter 65;27023;13618;13405
09161;      Ingolstadt (Krfr.St);Insgesamt;65 oder älter;25138;10909;14229
09161;      Ingolstadt (Krfr.St);Insgesamt;Insgesamt;136981;69252;67729
09161;      Ingolstadt (Krfr.St);Deutsche;unter 6;7213;3689;3524
09161;      Ingolstadt (Krfr.St);Deutsche;6 bis unter 15;9177;4709;4468
09161;      Ingolstadt (Krfr.St);Deutsche;15 bis unter 18;3152;1668;1484
09161;      Ingolstadt (Krfr.St);Deutsche;18 bis unter 25;7912;4129;3783
09161;      Ingolstadt (Krfr.St);Deutsche;25 bis unter 30;7711;3971;3740
09161;      Ingolstadt (Krfr.St);Deutsche;30 bis unter 40;16180;8808;7372
09161;      Ingolstadt (Krfr.St);Deutsche;40 bis unter 50;13317;6935;6382
09161;      Ingolstadt (Krfr.St);Deutsche;50 bis unter 65;23508;11822;11686
09161;      Ingolstadt (Krfr.St);Deutsche;65 oder älter;23187;9917;13270
09161;      Ingolstadt (Krfr.St);Deutsche;Insgesamt;111357;55648;55709
09161;      Ingolstadt (Krfr.St);Ausländer;unter 6;1406;743;663
09161;      Ingolstadt (Krfr.St);Ausländer;6 bis unter 15;1499;778;721
09161;      Ingolstadt (Krfr.St);Ausländer;15 bis unter 18;469;260;209
09161;      Ingolstadt (Krfr.St);Ausländer;18 bis unter 25;3124;1889;1235
09161;      Ingolstadt (Krfr.St);Ausländer;25 bis unter 30;3281;1844;1437
09161;      Ingolstadt (Krfr.St);Ausländer;30 bis unter 40;5737;2929;2808
09161;      Ingolstadt (Krfr.St);Ausländer;40 bis unter 50;4642;2373;2269
09161;      Ingolstadt (Krfr.St);Ausländer;50 bis unter 65;3515;1796;1719
09161;      Ingolstadt (Krfr.St);Ausländer;65 oder älter;1951;992;959
09161;      Ingolstadt (Krfr.St);Ausländer;Insgesamt;25624;13604;12020
09162;      München, Landeshauptstadt;Insgesamt;unter 6;92683;47261;45422
09162;      München, Landeshauptstadt;Insgesamt;6 bis unter 15;106907;54644;52263
09162;      München, Landeshauptstadt;Insgesamt;15 bis unter 18;32480;16765;15715
09162;      München, Landeshauptstadt;Insgesamt;18 bis unter 25;118117;59656;58461
09162;      München, Landeshauptstadt;Insgesamt;25 bis unter 30;134040;65095;68945
09162;      München, Landeshauptstadt;Insgesamt;30 bis unter 40;257247;128331;128916
09162;      München, Landeshauptstadt;Insgesamt;40 bis unter 50;201449;101188;100261
09162;      München, Landeshauptstadt;Insgesamt;50 bis unter 65;269295;133367;135928
