code;name;agegroup;population_total;population_m;population_f
09161;      Ingolstadt (Krfr.St);unter 1;1618;826;792
09161;      Ingolstadt (Krfr.St);1 bis unter 2;1499;768;731
09161;      Ingolstadt (Krfr.St);2 bis unter 3;1442;737;705
09161;      Ingolstadt (Krfr.St);3 bis unter 4;1354;694;660
09161;      Ingolstadt (Krfr.St);4 bis unter 5;1385;718;667
09161;      Ingolstadt (Krfr.St);5 bis unter 6;1321;689;632
09161;      Ingolstadt (Krfr.St);6 bis unter 7;1232;644;588
09161;      Ingolstadt (Krfr.St);7 bis unter 8;1196;610;586
09161;      Ingolstadt (Krfr.St);8 bis unter 9;1223;647;576
09161;      Ingolstadt (Krfr.St);9 bis unter 10;1120;557;563
09161;      Ingolstadt (Krfr.St);10 bis unter 11;1150;602;548
09161;      Ingolstadt (Krfr.St);11 bis unter 12;1222;632;590
09161;      Ingolstadt (Krfr.St);12 bis unter 13;1206;629;577
09161;      Ingolstadt (Krfr.St);13 bis unter 14;1125;597;528
09161;      Ingolstadt (Krfr.St);14 bis unter 15;1202;569;633
09161;      Ingolstadt (Krfr.St);15 bis unter 16;1189;617;572
09161;      Ingolstadt (Krfr.St);16 bis unter 17;1260;657;603
09161;      Ingolstadt (Krfr.St);17 bis unter 18;1172;654;518
09161;      Ingolstadt (Krfr.St);18 bis unter 19;1303;722;581
09161;      Ingolstadt (Krfr.St);19 bis unter 20;1418;785;633
09161;      Ingolstadt (Krfr.St);20 bis unter 21;1554;893;661
09161;      Ingolstadt (Krfr.St);21 bis unter 22;1621;893;728
09161;      Ingolstadt (Krfr.St);22 bis unter 23;1663;867;796
09161;      Ingolstadt (Krfr.St);23 bis unter 24;1635;896;739
09161;      Ingolstadt (Krfr.St);24 bis unter 25;1842;962;880
09161;      Ingolstadt (Krfr.St);25 bis unter 26;1912;1021;891
09161;      Ingolstadt (Krfr.St);26 bis unter 27;1984;1056;928
09161;      Ingolstadt (Krfr.St);27 bis unter 28;2205;1152;1053
09161;      Ingolstadt (Krfr.St);28 bis unter 29;2402;1282;1120
09161;      Ingolstadt (Krfr.St);29 bis unter 30;2489;1304;1185
09161;      Ingolstadt (Krfr.St);30 bis unter 31;2487;1371;1116
09161;      Ingolstadt (Krfr.St);31 bis unter 32;2470;1339;1131
09161;      Ingolstadt (Krfr.St);32 bis unter 33;2375;1315;1060
09161;      Ingolstadt (Krfr.St);33 bis unter 34;2268;1261;1007
09161;      Ingolstadt (Krfr.St);34 bis unter 35;2160;1162;998
09161;      Ingolstadt (Krfr.St);35 bis unter 36;2128;1149;979
09161;      Ingolstadt (Krfr.St);36 bis unter 37;2069;1095;974
09161;      Ingolstadt (Krfr.St);37 bis unter 38;2026;1028;998
09161;      Ingolstadt (Krfr.St);38 bis unter 39;1979;1009;970
09161;      Ingolstadt (Krfr.St);39 bis unter 40;1955;1008;947
09161;      Ingolstadt (Krfr.St);40 bis unter 41;1840;979;861
09161;      Ingolstadt (Krfr.St);41 bis unter 42;1852;976;876
09161;      Ingolstadt (Krfr.St);42 bis unter 43;1761;940;821
09161;      Ingolstadt (Krfr.St);43 bis unter 44;1714;840;874
09161;      Ingolstadt (Krfr.St);44 bis unter 45;1767;919;848
09161;      Ingolstadt (Krfr.St);45 bis unter 46;1645;817;828
09161;      Ingolstadt (Krfr.St);46 bis unter 47;1696;863;833
09161;      Ingolstadt (Krfr.St);47 bis unter 48;1867;974;893
09161;      Ingolstadt (Krfr.St);48 bis unter 49;1876;973;903
09161;      Ingolstadt (Krfr.St);49 bis unter 50;1941;1027;914
09161;      Ingolstadt (Krfr.St);50 bis unter 51;2024;1061;963
09161;      Ingolstadt (Krfr.St);51 bis unter 52;2017;1013;1004
09161;      Ingolstadt (Krfr.St);52 bis unter 53;1969;1026;943
09161;      Ingolstadt (Krfr.St);53 bis unter 54;1981;993;988
09161;      Ingolstadt (Krfr.St);54 bis unter 55;1984;1033;951
09161;      Ingolstadt (Krfr.St);55 bis unter 56;1947;985;962
09161;      Ingolstadt (Krfr.St);56 bis unter 57;1820;919;901
09161;      Ingolstadt (Krfr.St);57 bis unter 58;1936;1037;899
09161;      Ingolstadt (Krfr.St);58 bis unter 59;1774;887;887
09161;      Ingolstadt (Krfr.St);59 bis unter 60;1785;897;888
09161;      Ingolstadt (Krfr.St);60 bis unter 61;1694;810;884
09161;      Ingolstadt (Krfr.St);61 bis unter 62;1629;820;809
09161;      Ingolstadt (Krfr.St);62 bis unter 63;1552;757;795
09161;      Ingolstadt (Krfr.St);63 bis unter 64;1496;714;782
09161;      Ingolstadt (Krfr.St);64 bis unter 65;1415;666;749
09161;      Ingolstadt (Krfr.St);65 bis unter 66;1318;615;703
09161;      Ingolstadt (Krfr.St);66 bis unter 67;1363;637;726
09161;      Ingolstadt (Krfr.St);67 bis unter 68;1287;619;668
09161;      Ingolstadt (Krfr.St);68 bis unter 69;1306;589;717
09161;      Ingolstadt (Krfr.St);69 bis unter 70;1198;530;668
09161;      Ingolstadt (Krfr.St);70 bis unter 71;1122;524;598
09161;      Ingolstadt (Krfr.St);71 bis unter 72;1148;542;606
09161;      Ingolstadt (Krfr.St);72 bis unter 73;972;464;508
09161;      Ingolstadt (Krfr.St);73 bis unter 74;874;401;473
09161;      Ingolstadt (Krfr.St);74 bis unter 75;1056;496;560
09161;      Ingolstadt (Krfr.St);75 bis unter 76;1036;446;590
09161;      Ingolstadt (Krfr.St);76 bis unter 77;1094;508;586
09161;      Ingolstadt (Krfr.St);77 bis unter 78;1247;548;699
09161;      Ingolstadt (Krfr.St);78 bis unter 79;1223;547;676
09161;      Ingolstadt (Krfr.St);79 bis unter 80;1230;566;664
09161;      Ingolstadt (Krfr.St);80 bis unter 81;1074;453;621
09161;      Ingolstadt (Krfr.St);81 bis unter 82;967;386;581
09161;      Ingolstadt (Krfr.St);82 bis unter 83;818;333;485
09161;      Ingolstadt (Krfr.St);83 bis unter 84;766;319;447
09161;      Ingolstadt (Krfr.St);84 bis unter 85;679;262;417
09161;      Ingolstadt (Krfr.St);85 bis unter 90;2174;789;1385
09161;      Ingolstadt (Krfr.St);90 bis unter 95;968;288;680
09161;      Ingolstadt (Krfr.St);95 oder älter;218;47;171
09161;      Ingolstadt (Krfr.St);Insgesamt;136981;69252;67729
09162;      München, Landeshauptstadt;unter 1;17192;8879;8313
09162;      München, Landeshauptstadt;1 bis unter 2;16497;8272;8225
09162;      München, Landeshauptstadt;2 bis unter 3;16020;8182;7838
09162;      München, Landeshauptstadt;3 bis unter 4;14826;7505;7321
09162;      München, Landeshauptstadt;4 bis unter 5;14265;7333;6932
09162;      München, Landeshauptstadt;5 bis unter 6;13883;7090;6793
09162;      München, Landeshauptstadt;6 bis unter 7;13129;6710;6419
09162;      München, Landeshauptstadt;7 bis unter 8;12300;6290;6010
09162;      München, Landeshauptstadt;8 bis unter 9;12169;6189;5980
09162;      München, Landeshauptstadt;9 bis unter 10;11944;6150;5794
09162;      München, Landeshauptstadt;10 bis unter 11;12104;6119;5985
09162;      München, Landeshauptstadt;11 bis unter 12;11714;5983;5731
09162;      München, Landeshauptstadt;12 bis unter 13;11328;5885;5443
09162;      München, Landeshauptstadt;13 bis unter 14;11304;5723;5581
09162;      München, Landeshauptstadt;14 bis unter 15;10915;5595;5320
09162;      München, Landeshauptstadt;15 bis unter 16;10971;5627;5344
09162;      München, Landeshauptstadt;16 bis unter 17;10704;5421;5283
09162;      München, Landeshauptstadt;17 bis unter 18;10805;5717;5088
09162;      München, Landeshauptstadt;18 bis unter 19;11853;6025;5828
09162;      München, Landeshauptstadt;19 bis unter 20;13612;6967;6645
09162;      München, Landeshauptstadt;20 bis unter 21;15795;8145;7650
09162;      München, Landeshauptstadt;21 bis unter 22;17437;9063;8374
09162;      München, Landeshauptstadt;22 bis unter 23;18391;9288;9103
09162;      München, Landeshauptstadt;23 bis unter 24;19730;9756;9974
09162;      München, Landeshauptstadt;24 bis unter 25;21299;10412;10887
09162;      München, Landeshauptstadt;25 bis unter 26;23492;11454;12038
09162;      München, Landeshauptstadt;26 bis unter 27;25328;12071;13257
09162;      München, Landeshauptstadt;27 bis unter 28;27278;13292;13986
09162;      München, Landeshauptstadt;28 bis unter 29;29111;14363;14748
09162;      München, Landeshauptstadt;29 bis unter 30;28831;13915;14916
09162;      München, Landeshauptstadt;30 bis unter 31;29853;14797;15056
09162;      München, Landeshauptstadt;31 bis unter 32;28851;14553;14298
09162;      München, Landeshauptstadt;32 bis unter 33;27518;13866;13652
09162;      München, Landeshauptstadt;33 bis unter 34;26380;13284;13096
09162;      München, Landeshauptstadt;34 bis unter 35;25659;12929;12730
09162;      München, Landeshauptstadt;35 bis unter 36;24733;12150;12583
09162;      München, Landeshauptstadt;36 bis unter 37;24809;12366;12443
09162;      München, Landeshauptstadt;37 bis unter 38;24045;11906;12139
09162;      München, Landeshauptstadt;38 bis unter 39;23279;11525;11754
09162;      München, Landeshauptstadt;39 bis unter 40;22120;10955;11165
09162;      München, Landeshauptstadt;40 bis unter 41;21006;10371;10635
09162;      München, Landeshauptstadt;41 bis unter 42;20570;10257;10313
09162;      München, Landeshauptstadt;42 bis unter 43;20136;10030;10106
09162;      München, Landeshauptstadt;43 bis unter 44;19566;9691;9875
09162;      München, Landeshauptstadt;44 bis unter 45;19530;9788;9742
09162;      München, Landeshauptstadt;45 bis unter 46;18674;9454;9220
09162;      München, Landeshauptstadt;46 bis unter 47;19609;9757;9852
09162;      München, Landeshauptstadt;47 bis unter 48;20350;10385;9965
09162;      München, Landeshauptstadt;48 bis unter 49;20525;10455;10070
09162;      München, Landeshauptstadt;49 bis unter 50;21483;11000;10483
09162;      München, Landeshauptstadt;50 bis unter 51;22052;11419;10633
09162;      München, Landeshauptstadt;51 bis unter 52;22191;11340;10851
09162;      München, Landeshauptstadt;52 bis unter 53;21793;11165;10628
09162;      München, Landeshauptstadt;53 bis unter 54;21243;10833;10410
09162;      München, Landeshauptstadt;54 bis unter 55;20952;10445;10507
09162;      München, Landeshauptstadt;55 bis unter 56;20111;10077;10034
09162;      München, Landeshauptstadt;56 bis unter 57;18749;9311;9438
09162;      München, Landeshauptstadt;57 bis unter 58;17918;8807;9111
09162;      München, Landeshauptstadt;58 bis unter 59;17071;8344;8727
09162;      München, Landeshauptstadt;59 bis unter 60;16278;7970;8308
09162;      München, Landeshauptstadt;60 bis unter 61;15324;7373;7951
09162;      München, Landeshauptstadt;61 bis unter 62;14800;7198;7602
09162;      München, Landeshauptstadt;62 bis unter 63;14422;6928;7494
09162;      München, Landeshauptstadt;63 bis unter 64;13650;6364;7286
09162;      München, Landeshauptstadt;64 bis unter 65;12741;5793;6948
09162;      München, Landeshauptstadt;65 bis unter 66;12389;5482;6907
09162;      München, Landeshauptstadt;66 bis unter 67;12749;5634;7115
09162;      München, Landeshauptstadt;67 bis unter 68;11902;5268;6634
09162;      München, Landeshauptstadt;68 bis unter 69;12878;5708;7170
09162;      München, Landeshauptstadt;69 bis unter 70;12819;5803;7016
09162;      München, Landeshauptstadt;70 bis unter 71;12543;5747;6796
09162;      München, Landeshauptstadt;71 bis unter 72;12688;5857;6831
09162;      München, Landeshauptstadt;72 bis unter 73;11603;5222;6381
09162;      München, Landeshauptstadt;73 bis unter 74;10124;4549;5575
09162;      München, Landeshauptstadt;74 bis unter 75;12450;5700;6750
09162;      München, Landeshauptstadt;75 bis unter 76;12446;5595;6851
09162;      München, Landeshauptstadt;76 bis unter 77;11660;5220;6440
09162;      München, Landeshauptstadt;77 bis unter 78;12920;5721;7199
09162;      München, Landeshauptstadt;78 bis unter 79;13088;5658;7430
09162;      München, Landeshauptstadt;79 bis unter 80;12133;5180;6953
09162;      München, Landeshauptstadt;80 bis unter 81;10557;4500;6057
09162;      München, Landeshauptstadt;81 bis unter 82;9523;3960;5563
09162;      München, Landeshauptstadt;82 bis unter 83;8727;3567;5160
09162;      München, Landeshauptstadt;83 bis unter 84;7512;2972;4540
09162;      München, Landeshauptstadt;84 bis unter 85;6564;2627;3937
09162;      München, Landeshauptstadt;85 bis unter 90;20601;7722;12879
09162;      München, Landeshauptstadt;90 bis unter 95;9087;2758;6329
09162;      München, Landeshauptstadt;95 oder älter;2327;551;1776
09162;      München, Landeshauptstadt;Insgesamt;1471508;717308;754200
